url,league_name,team_name,team_country
114147,Romanian Liga I ,FC Hermannstadt,Romania
113183,Japanese J. League Division 1 ,Oita Trinita,Japan
113958,Italian Serie B ,Pordenone,Italy
112075,Austrian Football Bundesliga ,SKN St. Pölten,Austria
543,German 2. Bundesliga ,SSV Jahn Regensburg,Germany
820,Danish Superliga ,Aalborg BK,Denmark
305,Rep. Ireland Airtricity League ,Bohemian FC,Republic of Ireland
269,Danish Superliga ,Brøndby IF,Denmark
1327,International,Bulgaria,Bulgaria
1457,Turkish Süper Lig ,Denizlispor,Turkey
294,French Ligue 2 ,ESTAC Troyes,France
1805,French Ligue 2 ,Grenoble Foot 38,France
101026,Turkish Süper Lig ,Göztepe SK,Turkey
432,Swedish Allsvenskan ,Helsingborgs IF,Sweden
1750,Belgian Jupiler Pro League ,KSV Cercle Brugge,Belgium
682,Belgian Jupiler Pro League ,KV Oostende,Belgium
1844,Italian Serie B ,Livorno,Italy
1914,Holland Eredivisie ,PEC Zwolle,Netherlands
1843,Italian Serie B ,Palermo,
15009,Austrian Football Bundesliga ,SCR Altach,Austria
423,Rep. Ireland Airtricity League ,St. Patrick's Athletic,Republic of Ireland
983,Korean K League Classic ,Suwon Samsung Bluewings,Korea Republic
1473,Korean K League Classic ,Ulsan Hyundai FC,Korea Republic
607,Saudi Abdul L. Jameel League ,Al Ittihad,Saudi Arabia
741,Turkish Süper Lig ,Antalyaspor,Turkey
1847,Italian Serie B ,Ascoli,Italy
111327,Chilian Campeonato Nacional ,CD Huachipato,Chile
110831,Spanish Segunda División ,CD Lugo,Spain
1330,International,Czech Republic,Czech Republic
1445,Danish Superliga ,Esbjerg fB,Denmark
112218,Russian Premier League ,FC Krasnodar,
898,Swiss Super League ,FC St. Gallen,Switzerland
1043,Campeonato Brasileiro Série A ,Flamengo,Brazil
1832,German 2. Bundesliga ,Karlsruher SC,Germany
82,Scottish Premiership ,Kilmarnock,Scotland
83,Scottish Premiership ,Motherwell,Scotland
110227,Russian Premier League ,Rubin Kazan,
110169,German 3. Bundesliga ,SC Fortuna Köln,
1785,Austrian Football Bundesliga ,SV Mattersburg,Austria
1361,International,Slovenia,Slovenia
670,Belgian Jupiler Pro League ,Sporting de Charleroi,Belgium
111434,Italian Serie B ,US Cremonese,Italy
111716,Argentina Primera División  ,Unión de Santa Fe,Argentina
110913,Belgian Jupiler Pro League ,Waasland-Beveren,Belgium
111085,Polish T-Mobile Ekstraklasa ,LKS Lodz,Poland
113391,Romanian Liga I ,Academica Clinceni,Romania
113345,Saudi Abdul L. Jameel League ,Al Adalah,Saudi Arabia
1962,English League One ,Bristol Rovers,England
112533,Chilian Campeonato Nacional ,CD Antofagasta,Chile
110978,Chilian Campeonato Nacional ,CD Cobresal,Chile
110069,Spanish Segunda División ,CD Mirandés,Spain
111328,Chilian Campeonato Nacional ,CD Palestino,Chile
112637,Romanian Liga I ,Gaz Metan Mediaş,Romania
1341,International,Iceland,Iceland
101144,Japanese J. League Division 1 ,Júbilo Iwata,Japan
111083,Polish T-Mobile Ekstraklasa ,Korona Kielce,Poland
113158,Japanese J. League Division 1 ,Matsumoto Yamaga,Japan
111138,USA Major League Soccer ,Minnesota United FC,USA
111473,International,New Zealand,New Zealand
1937,English League Two ,Notts County,
110178,German 2. Bundesliga ,SV Sandhausen,Germany
112836,Japanese J. League Division 1 ,Vegalta Sendai,Japan
1569,Polish T-Mobile Ekstraklasa ,Wisła Płock,Poland
1039,Campeonato Brasileiro Série A ,Club Athletico Paranaense,Brazil
445,Rep. Ireland Airtricity League ,Derry City,Northern Ireland
469,Spanish Segunda División ,Extremadura UD,Spain
272,Danish Superliga ,Odense Boldklub,Denmark
631,Scottish Premiership ,Ross County FC,Scotland
270,Danish Superliga ,Silkeborg IF,Denmark
418,Norwegian Eliteserien ,Tromsø IL,Norway
920,Norwegian Eliteserien ,Vålerenga Fotball,Norway
1446,Danish Superliga ,AC Horsens,Denmark
112171,Swedish Allsvenskan ,AFC Eskilstuna,Sweden
113948,French Ligue 2 ,AS Béziers,
111708,Argentina Primera División  ,Atlético Tucumán,Argentina
711,Swedish Allsvenskan ,BK Häcken,Sweden
111451,International,Bolivia,Bolivia
517,Campeonato Brasileiro Série A ,Botafogo,Brazil
838,Rep. Ireland Airtricity League ,Bray Wanderers,
1891,Portuguese Liga ZON SAGRES ,CD Nacional,
112534,Chilian Campeonato Nacional ,CD Universidad de Concepción,Chile
110066,Spanish Segunda División ,CF Rayo Majadahonda,
113387,Romanian Liga I ,Chindia Târgovişte,Romania
112165,Chinese Super League ,Chongqing Dangdai Lifan FC SWM Team,China PR
111723,Colombian Liga Postobón ,Deportivo Pasto,Colombia
100766,Russian Premier League ,FC Anzhi Makhachkala,
110752,Romanian Liga I ,FC Botoşani,Romania
100628,Holland Eredivisie ,FC Emmen,Netherlands
10032,Swiss Super League ,FC Lugano,Switzerland
897,Swiss Super League ,FC Luzern,Switzerland
110231,Russian Premier League ,FC Rostov,
982,Korean K League Classic ,FC Seoul,Korea Republic
322,Swiss Super League ,Grasshopper Club Zürich,
111588,Korean K League Classic ,Gyeongnam FC,Korea Republic
184,Scottish Premiership ,Hamilton Academical FC,Scotland
112425,Danish Superliga ,Hobro IK,Denmark
212,French Ligue 2 ,La Berrichonne de Châteauroux,France
299,Norwegian Eliteserien ,Lillestrøm SK,Norway
15001,Danish Superliga ,Lyngby BK,Denmark
1904,Holland Eredivisie ,NAC Breda,
1786,Danish Superliga ,Randers FC,Denmark
113157,Japanese J. League Division 1 ,Sanfrecce Hiroshima,Japan
1438,Portuguese Liga ZON SAGRES ,Santa Clara,Portugal
111099,International,South Africa,South Africa
110741,Italian Serie B ,Spezia,Italy
100805,Scottish Premiership ,St. Mirren,Scotland
